Model,Train_mae,Val_mae
 'mlp-32-480-train':,0.0191022303,0.0183122789
 'mlp-48-480-train':,0.0187256351,0.0185314733
 'mlp-16-480-train':,0.0198914443,0.0199629951
 'mlp-32-160-train':,0.0200544396,0.0202094046
 'mlp-32-320-train':,0.0190567308,0.020225058
 'mlp-32-240-train':,0.018371125,0.0203531616
 'mlp-16-160-train':,0.0198102887,0.0207354847
 'mlp-16-320-train':,0.0196245516,0.0210965523
 'mlp-48-320-train':,0.0204875029,0.0221650187
 'mlp-48-160-train':,0.020313666,0.0229922265
 'mlp-48-240-train':,0.019572847,0.0230008708
 'mlp-16-240-train':,0.0214353032,0.0241127106
 'mlp-1-480-train':,0.0250151717,0.02710895
 'mlp-1-320-train':,0.0256595782,0.0274252107
 'mlp-1-240-train':,0.0275310724,0.0291449945
'mlp-1-160-train':,0.0285213334,0.0329834403
